Mes,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Enero,18.8428,19.1063,18.6,20.6893,18.1268,14.995,13.471,12.7201,13.0063,12.1594,12.9755
Febrero,19.6185,19.2825,18.8403,19.9393,18.1268,14.971,13.2518,12.7826,12.8042,12.1268,12.7835
Marzo,23.719,19.429,18.16,18.6893,17.1268,15.2835,13.0643,12.3152,12.8161,11.9076,12.364
Abril,24.1695,18.9477,18.7135,18.8768,17.1268,15.221,13.099,12.1576,13.0036,11.5144,12.2649
Mayo,22.175,19.6172,19.9135,18.6268,18.4393,15.4085,12.846,12.9384,14.2925,11.5814,12.9456
Junio,22.9987,19.2237,19.9175,18.1268,18.2518,15.721,12.971,12.9384,13.4456,11.721,12.8759
Julio,22.2789,19.134,18.648,17.8768,18.8768,16.0643,13.221,12.7835,13.3188,11.7961,12.6585
Agosto,22.396,20.0678,19.085,17.8768,18.8768,16.8768,13.096,13.4085,13.1888,12.346,13.2509
Septiembre,20.20,19.7325,18.7184,18.1268,19.3143,16.8768,13.471,13.1585,12.8451,13.8242,12.6392
Octubre,19.90,19.2345,20.3397,19.1268,18.8768,16.5018,13.471,13.0335,13.0951,13.1583,12.3514
Noviembre,20.10,19.567,20.4052,18.6268,20.6268,16.6268,13.846,13.096,12.9384,13.6974,12.509
Diciembre,20.33,18.9325,19.6478,18.7,20.6268,17.1893,14.721,13.096,12.8759,13.9755,12.3451
